journal_title,issn,eissn,subject_area,subject_category,publisher,oa_type,sjr_quartile,sjr_score,impact_factor,h_index,scope
Acta Neuropsychiatrica,0924-2708,1601-5215,,,Cambridge UP,OA,,,,,
National Institute Economic Review,0027-9501,1741-3036,,,Cambridge UP,Hybrid,,,,,
Nordic Journal of Linguistics,0332-5865,1502-4717,,,Cambridge UP,OA,,,,,
Natural Language Processing,,2977-0424,,,Cambridge UP,OA,,,,,
Nagoya Mathematical Journal,0027-7630,2152-6842,,,Cambridge UP,OA,,,,,
Nationalities Papers,0090-5992,1465-3923,,,Cambridge UP,Hybrid,,,,,
New Perspectives on Turkey,0896-6346,1305-3299,,,Cambridge UP,Hybrid,,,,,
Nutrition Research Reviews,0954-4224,1475-2700,,,Cambridge UP,Hybrid,,,,,
New Theatre Quarterly,0266-464X,1474-0613,,,Cambridge UP,Hybrid,,,,,
New Testament Studies,0028-6885,1469-8145,,,Cambridge UP,Hybrid,,,,,
Network Science,2050-1242,2050-1250,,,Cambridge UP,OA,,,,,
Research Directions: One Health,,2752-9460,,,Cambridge UP,OA,,,,,
Cambridge Opera Journal,0954-5867,1474-0621,,,Cambridge UP,OA,,,,,
Oryx,0030-6053,1365-3008,,,Cambridge UP,OA,,,,,
Organised Sound,1355-7718,1469-8153,,,Cambridge UP,Hybrid,,,,,
Paleobiology,0094-8373,1938-5331,,,Cambridge UP,OA,,,,,
Politics & Gender,1743-923X,1743-9248,,,Cambridge UP,Hybrid,,,,,
Political Analysis,1047-1987,1476-4989,,,Cambridge UP,Hybrid,,,,,
Parasitology,0031-1820,1469-8161,,,Cambridge UP,OA,,,,,
Publications of the Astronomical Society of Australia,1323-3580,1448-6083,,,Cambridge UP,OA,,,,,
Palliative & Supportive Care,1478-9515,1478-9523,,,Cambridge UP,OA,,,,,
Cambridge Prisms: Precision Medicine,,2752-6143,,,Cambridge UP,OA,,,,,
Phonological Data and Analysis,,2642-1828,,,Cambridge UP,OA,,,,,
Powder Diffraction,0885-7156,1945-7413,,,Cambridge UP,Hybrid,,,,,
Prehospital and Disaster Medicine,1049-023X,1945-1938,,,Cambridge UP,Hybrid,,,,,
Proceedings of the Design Society,,2732-527X,,,Cambridge UP,OA,,,,,
Political Data Yearbook,2047-8844,2047-8852,,,Cambridge UP,OA,,,,,
Journal of Pension Economics & Finance,1474-7472,1475-3022,,,Cambridge UP,OA,,,,,
Proceedings of the Edinburgh Mathematical Society,0013-0915,1464-3839,,,Cambridge UP,Hybrid,,,,,
Personality Neuroscience,,2513-9886,,,Cambridge UP,OA,,,,,
Probability in the Engineering and Informational Sciences,0269-9648,1469-8951,,,Cambridge UP,OA,,,,,
Plant Genetic Resources,1479-2621,1479-263X,,,Cambridge UP,Hybrid,,,,,
Primary Health Care Research & Development,1463-4236,1477-1128,,,Cambridge UP,OA,,,,,
Philosophy,0031-8191,1469-817X,,,Cambridge UP,Hybrid,,,,,
Public Health Nutrition,1368-9800,1475-2727,,,Cambridge UP,OA,,,,,
Phonology,0952-6757,1469-8188,,,Cambridge UP,Hybrid,,,,,
Royal Institute of Philosophy Supplements,1358-2461,1755-3555,,,Cambridge UP,Hybrid,,,,,
Journal of Plasma Physics,0022-3778,1469-7807,,,Cambridge UP,OA,,,,,
Cambridge Prisms: Plastics,,2755-094X,,,Cambridge UP,OA,,,,,
Cambridge Journal of Postcolonial Literary Inquiry,2052-2614,2052-2622,,,Cambridge UP,Hybrid,,,,,
Politics and the Life Sciences,0730-9384,1471-5457,,,Cambridge UP,OA,,,,,
Programmable Materials,,2752-8073,,,Cambridge UP,OA,,,,,
Plainsong & Medieval Music,0961-1371,1474-0087,,,Cambridge UP,Hybrid,,,,,
Popular Music,0261-1430,1474-0095,,,Cambridge UP,Hybrid,,,,,
Proceedings of the Nutrition Society,0029-6651,1475-2719,,,Cambridge UP,Hybrid,,,,,
Polar Record,0032-2474,1475-3057,,,Cambridge UP,Hybrid,,,,,
Proceedings of the Prehistoric Society,0079-497X,2050-2729,,,Cambridge UP,Hybrid,,,,,
Perspectives on Politics,1537-5927,1541-0986,,,Cambridge UP,Hybrid,,,,,
Proceedings of the Royal Society of Edinburgh Section A: Mathematics,0308-2105,1473-7124,,,Cambridge UP,Hybrid,,,,,
Philosophy of Science,0031-8248,1539-767X,,,Cambridge UP,Hybrid,,,,,
PS: Political Science & Politics,1049-0965,1537-5935,,,Cambridge UP,Hybrid,,,,,
Mathematical Proceedings of the Cambridge Philosophical Society,0305-0041,1469-8064,,,Cambridge UP,Hybrid,,,,,
American Political Science Review,0003-0554,1537-5943,,,Cambridge UP,Hybrid,,,,,
Psychometrika,0033-3123,1860-0980,,,Cambridge UP,OA,,,,,
Public Humanities,,2977-0173,,,Cambridge UP,OA,,,,,
Journal of Public Policy,0143-814X,1469-7815,,,Cambridge UP,OA,,,,,
Quantitative Plant Biology,,2632-8828,,,Cambridge UP,OA,,,,,
Quarterly Reviews of Biophysics,0033-5835,1469-8994,,,Cambridge UP,Hybrid,,,,,
QRB Discovery,,2633-2892,,,Cambridge UP,OA,,,,,
Quaternary Research,0033-5894,1096-0287,,,Cambridge UP,Hybrid,,,,,
Research Directions: Quantum Technologies,,2752-9444,,,Cambridge UP,OA,,,,,
Religion and American Culture,1052-1151,1533-8568,,,Cambridge UP,Hybrid,,,,,
Renewable Agriculture and Food Systems,1742-1705,1742-1713,,,Cambridge UP,OA,,,,,
Political Science Research and Methods,2049-8470,2049-8489,,,Cambridge UP,OA,,,,,
Politics and Religion,1755-0483,1755-0491,,,Cambridge UP,OA,,,,,
Radiocarbon,0033-8222,1945-5755,,,Cambridge UP,Hybrid,,,,,
ReCALL,0958-3440,1474-0109,,,Cambridge UP,OA,,,,,
"Journal of Race, Ethnicity and Politics",,2056-6085,,,Cambridge UP,Hybrid,,,,,
Religious Studies,0034-4125,1469-901X,,,Cambridge UP,Hybrid,,,,,
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,0212-6109,2041-3335,,,Cambridge UP,Hybrid,,,,,
Transactions of the Royal Historical Society,0080-4401,1474-0648,,,Cambridge UP,OA,,,,,
Review of International Studies,0260-2105,1469-9044,,,Cambridge UP,Hybrid,,,,,
Journal of the Royal Musical Association,0269-0403,1471-6933,,,Cambridge UP,Hybrid,,,,,
Review of Middle East Studies,2151-3481,2329-3225,,,Cambridge UP,OA,,,,,
Robotica,0263-5747,1469-8668,,,Cambridge UP,Hybrid,,,,,
Papers of the British School at Rome,0068-2462,2045-239X,,,Cambridge UP,Hybrid,,,,,
Review of Politics,0034-6705,1748-6858,,,Cambridge UP,Hybrid,,,,,
Renaissance Quarterly,0034-4338,1935-0236,,,Cambridge UP,Hybrid,,,,,
Royal Musical Association Research Chronicle,1472-3808,2167-4027,,,Cambridge UP,Hybrid,,,,,
Review of Symbolic Logic,1755-0203,1755-0211,,,Cambridge UP,Hybrid,,,,,
Research Synthesis Methods,1759-2879,1759-2887,,,Cambridge UP,OA,,,,,
Rural History,0956-7933,1474-0656,,,Cambridge UP,OA,,,,,
Journal of the Society for American Music,1752-1963,1752-1971,,,Cambridge UP,Hybrid,,,,,
Studies in American Political Development,0898-588X,1469-8692,,,Cambridge UP,OA,,,,,
Signs and Society,2326-4489,2326-4497,,,Cambridge UP,OA,,,,,
Journal of Southeast Asian Studies,0022-4634,1474-0680,,,Cambridge UP,Hybrid,,,,,
Science in Context,0269-8897,1474-0664,,,Cambridge UP,OA,,,,,
Spanish Journal of Psychology,1138-7416,1988-2904,,,Cambridge UP,OA,,,,,
Scottish Journal of Theology,0036-9306,1475-3065,,,Cambridge UP,Hybrid,,,,,
Studies in Second Language Acquisition,0272-2631,1470-1545,,,Cambridge UP,OA,,,,,
Research Directions: Sleep Psychology,,2752-9479,,,Cambridge UP,OA,,,,,
Slavic Review,0037-6779,2325-7784,,,Cambridge UP,Hybrid,,,,,
Social Philosophy and Policy,0265-0525,1471-6437,,,Cambridge UP,Hybrid,,,,,
State Politics & Policy Quarterly,1532-4400,1946-1607,,,Cambridge UP,Hybrid,,,,,
Social Policy and Society,1474-7464,1475-3073,,,Cambridge UP,Hybrid,,,,,
Social Science History,0145-5532,1527-8034,,,Cambridge UP,Hybrid,,,,,
Seed Science Research,0960-2585,1475-2735,,,Cambridge UP,OA,,,,,
Studies in Church History,0424-2084,2059-0644,,,Cambridge UP,OA,,,,,
Global Sustainability,,2059-4798,,,Cambridge UP,OA,,,,,
Americas,0003-1615,1533-6247,,,Cambridge UP,Hybrid,,,,,
Canadian Entomologist,0008-347X,1918-3240,,,Cambridge UP,Hybrid,,,,,
Twentieth-Century Music,1478-5722,1478-5730,,,Cambridge UP,Hybrid,,,,,
Traditio,0362-1529,2166-5508,,,Cambridge UP,Hybrid,,,,,
TDR: The Drama Review,1054-2043,1531-4715,,,Cambridge UP,Hybrid,,,,,
Transnational Environmental Law,2047-1025,2047-1033,,,Cambridge UP,Hybrid,,,,,
Tempo,0040-2982,1478-2286,,,Cambridge UP,Hybrid,,,,,
International Journal of Technology Assessment in Health Care,0266-4623,1471-6348,,,Cambridge UP,OA,,,,,
Twin Research and Human Genetics,1832-4274,1839-2628,,,Cambridge UP,Hybrid,,,,,
Think,1477-1756,1755-1196,,,Cambridge UP,Hybrid,,,,,
Theory and Practice of Logic Programming,1471-0684,1475-3081,,,Cambridge UP,OA,,,,,
Traditions of Music and Dance,3033-4233,3033-4241,,,Cambridge UP,Hybrid,,,,,
Earth and Environmental Science Transactions of The Royal Society of Edinburgh,1755-6910,1755-6929,,,Cambridge UP,Hybrid,,,,,
Theatre Research International,0307-8833,1474-0672,,,Cambridge UP,Hybrid,,,,,
TRaNS: Trans-Regional and -National Studies of Southeast Asia,2051-364X,2051-3658,,,Cambridge UP,Hybrid,,,,,
Journal of Tropical Ecology,0266-4674,1469-7831,,,Cambridge UP,Hybrid,,,,,
Theatre Survey,0040-5574,1475-4533,,,Cambridge UP,Hybrid,,,,,
Urban History,0963-9268,1469-8706,,,Cambridge UP,Hybrid,,,,,
Utilitas,0953-8208,1741-6183,,,Cambridge UP,Hybrid,,,,,
Victorian Literature and Culture,1060-1503,1470-1553,,,Cambridge UP,Hybrid,,,,,
Voluntas: International Journal of Voluntary and Nonprofit Organizations,0957-8765,1573-7888,,,Cambridge UP,OA,,,,,
Cambridge Prisms: Water,,2755-1776,,,Cambridge UP,OA,,,,,
Weed Technology,0890-037X,1550-2740,,,Cambridge UP,OA,,,,,
Weed Science,0043-1745,1550-2759,,,Cambridge UP,OA,,,,,
Wearable Technologies,,2631-7176,,,Cambridge UP,OA,,,,,
World Trade Review,1474-7456,1475-3138,,,Cambridge UP,OA,,,,,
Journal of Experimental Political Science,2052-2630,2052-2649,,,Cambridge UP,OA,,,,,
Zygote,0967-1994,1469-8730,,,Cambridge UP,Hybrid,,,,,
